g,LeveleV
4,0.00000000,
6,0.01166867,
8,0.02798372,
10,0.04878107,
4,0.11257359,
6,0.12199000,
8,0.13481497,
10,0.15074407,
6,0.57388034,
8,0.60723963,
4,1.07997273,
6,1.08416006,
8,1.11558346,
10,1.13052324,
2,1.16095611,
4,1.16493098,
6,1.18010040,
2,1.22137014,
2,1.2240835,
4,1.23125938,
4,1.23686629,
6,1.24291690,
4,1.56577729,
10,1.57176070,
6,1.58182260,
12,1.58387542,
10,1.89169544,
8,1.89270559,
2,2.04771507,
4,2.06126756,
8,2.59025181,
6,2.59768656,
4,3.09479326,
6,3.12352957,
6,3.66304545,
8,3.68662310,
10,3.71559942,
12,3.74939866,
4,3.82322944,
6,3.83837530,
8,3.85760423,
6,3.86923825,
10,3.88083749,
8,3.90437619,
4,3.93732163,
2,3.9412015,
6,3.97066729,
4,4.00165030,
6,4.00876907,
2,4.03349786,
4,4.04221051,
6,4.05404799,
8,4.06261454,
8,4.28283327,
10,4.30826569,
2,4.64081303,
4,4.86432355,
6,4.89451483,
4,4.91012941,
2,4.91904352,
6,4.95029467,
4,4.96274032,
8,4.96862592,
2,5.00032200,
4,5.01215028,
6,5.03148088,
8,5.05836105,
2,5.20693336,
4,5.21587241,
6,5.23322711,
8,5.42316403,
10,5.42814640,
6,5.56719371,
4,5.56873456,
2,5.63786549,
4,5.64734724,
10,5.66282503,
12,5.69194831,
8,5.88512669,
6,5.90475346,
4,6.4880793,
2,6.4892390,
4,6.5041360,
6,6.50568584,
6,6.52539759,
8,6.53461713,
8,6.55220951,
10,6.5831339,
6,6.63997254,
4,6.64521411,
2,6.97078901,
4,6.97401753,
6,6.98355096,
6,7.35501207,
4,7.3631706,
2,7.3696443,
8,7.37313868,
4,7.70938719,
6,7.72079212,
8,7.73797320,
10,7.76081136,
6,7.83196911,
2,7.8453316,
4,7.8575384,
8,7.86630473,
6,8.04492168,
8,8.05640407,
10,8.07087217,
8,8.08214158,
2,8.08552695,
12,8.08917904,
4,8.09304682,
10,8.09721403,
6,8.09796096,
6,8.10828622,
12,8.11431724,
8,8.11602678,
14,8.13218467,
8,8.13322612,
2,8.2475789,
4,8.28142599,
2,8.36118804,
4,8.37504020,
8,8.38209582,
6,8.39366119,
10,8.40892905,
10,8.47198409,
4,8.47612336,
6,8.49075738,
12,8.50339168,
4,8.52631106,
6,8.5359028,
8,8.54897459,
10,8.56540259,
4,8.59551578,
6,8.63206506,
6,8.75402229,
6,8.77885195,
4,8.77923899,
8,8.78956417,
6,8.86013315,
8,8.87556400,
4,8.89320022,
10,8.89557716,
6,8.90528793,
12,8.92017727,
8,8.92195655,
10,8.94259749,
2,8.96040647,
4,8.96879449,
6,8.98286555,
2,9.00114035,
8,9.00236547,
4,9.00879892,
6,9.02130230,
8,9.03652905,
10,9.06740444,
2,9.0974073,
2,9.10505571,
6,9.11567779,
4,9.11951110,
2,9.12871389,
8,9.15012937,
4,9.16865518,
6,9.17180770,
8,9.18273804,
4,9.20132290,
4,9.2217861,
2,9.22896206,
6,9.25482619,
10,9.2874155,
8,9.28776449,
4,9.40111587,
6,9.42048628,
4,9.45825621,
2,9.4595346,
6,9.4613882,
8,9.46559809,
4,9.46727494,
6,9.47335482,
8,9.47751517,
10,9.48432277,
8,9.49700263,
10,9.49717180,
6,9.58835182,
8,9.59129596,
4,9.63867800,
2,9.64014338,
6,9.64693603,
2,9.66301158,
4,9.67797117,
6,9.73820116,
4,9.74464186,
8,9.92820802,
10,9.93276108,
6,9.94208490,
8,9.95197253,
10,10.01645402,
12,10.02160162,
8,10.12056107,
10,10.12658806,
8,10.12777063,
6,10.13252555,
10,10.13425616,
12,10.13622136,
4,10.13838083,
6,10.13870343,
10,10.14714502,
8,10.14947389,
4,10.1503230,
12,10.15301359,
8,10.15592331,
14,10.15674693,
10,10.15729722,
6,10.15968845,
6,10.1663329,
12,10.16684177,
2,10.1748430,
14,10.17575653,
10,10.1764446,
12,10.17949790,
6,10.1805668,
8,10.18333756,
10,10.18501759,
8,10.18548304,
16,10.18704698,
12,10.18945178,
6,10.1966665,
8,10.19684033,
6,10.1972682,
14,10.20196129,
8,10.20594446,
6,10.2062637,
4,10.2126052,
4,10.2707693,
6,10.2800631,
8,10.2979463,
6,10.3211037,
10,10.32258336,
8,10.3550815,
6,10.37264424,
4,10.3733123,
6,10.4480208,
8,10.4593698,
8,10.4605319,
10,10.4755459,
4,10.4779241,
10,10.47825106,
12,10.4930616,
6,10.4945950,
8,10.4955653,
14,10.50422385,
,13.5755,

#ignore,test#92.94
