g,LeveleV
2,0.00000,
2,7.95469,
6,8.25012,
4,9.79155,
4,10.48859,
6,15.04345,
8,15.71903,
6,15.79275,
4,16.01421,
10,17.07870,
2,17.26081,
4,17.36047,
6,17.71887,
4,17.74788,
8,17.75579,
2,17.77610,
4,18.02260,
6,18.18552,
6,18.22617,
4,18.56916,
2,18.70346,
4,19.32436,
8,19.33206,
2,19.36984,
2,19.57258,
6,19.78908,
4,19.83896,
8,19.98713,
6,20.12283,
4,20.27638,
6,21.55070,
2,21.66533,
8,21.77154,
6,21.94052,
4,22.12884,
2,22.71345,
4,23.10623,
6,23.17992,
2,23.85602,
4,24.03431,
10,24.92251,
8,24.92302,
6,24.98073,
8,24.99792,
6,25.01318,
2,25.23525,
4,25.45006,
6,25.49579,
4,25.60600,
4,25.96273,
4,26.10020,
6,26.19167,
6,26.20660,
8,26.22649,
4,26.27095,
8,26.42918,
10,26.44726,
2,26.45467,
8,26.46300,
6,26.47146,
6,26.59108,
2,26.60758,
4,26.62287,
6,26.73593,
4,26.74815,
4,26.76846,
6,26.77950,
6,26.97644,
6,26.99125,
2,27.12508,
6,27.16494,
8,27.34227,
10,27.35126,
4,27.49827,
4,27.62041,
6,27.69402,
4,27.71723,
2,27.86583,
4,27.87998,
10,27.93706,
2,27.94702,
4,28.08289,
4,28.16127,
2,28.23077,
6,28.29158,
4,28.33749,
4,28.41941,
2,28.45405,
4,28.66719,
4,28.72007,
6,28.89832,
6,29.05813,
6,29.13308,
6,29.20175,
4,29.22259,
2,29.41347,
6,29.52955,
6,29.53208,
4,29.65114,
4,29.70108,
6,29.74201,
,29.8520,
4,30.03269,
4,30.23237,
4,30.65749,
4,30.82682,
6,30.84346,
4,31.20158,
4,31.71180,

#ignore,test#2.0
