g,LeveleV
8,0.0000000,
6,1.0874955,
10,1.6266243,
16,1.8933629,
12,1.9326423,
18,2.0403972,
8,2.0757728,
8,2.1024008,
8,2.1503043,
14,2.1641216,
10,2.1838154,
6,2.2010461,
16,2.3176458,
10,2.3355381,
12,2.3375761,
12,2.3545103,
4,2.3720961,
14,2.4135586,
6,2.4237465,
10,2.4485073,
8,2.4491628,
6,2.5301257,
8,2.6186499,
6,2.6236793,
10,2.6951295,
4,2.7027787,
12,2.7273391,
10,2.7796965,
12,2.7856827,
12,2.7970218,
14,2.8197450,
8,2.8257457,
14,2.8395019,
6,2.8429226,
12,2.8900691,
8,2.8931850,
14,2.8980911,
6,2.9051784,
4,2.9228549,
10,2.9485548,
8,2.9599004,
4,2.961041,
10,2.9683145,
14,2.9926309,
2,2.995536,
8,3.0061736,
10,3.0188531,
6,3.0274484,
6,3.0514127,
10,3.0625409,
8,3.0634067,
12,3.0943318,
16,3.1157791,
4,3.1253604,
12,3.1601768,
12,3.1641991,
16,3.1660749,
6,3.1809410,
10,3.1863584,
8,3.1885261,
6,3.1919877,
6,3.2393236,
14,3.2679428,
12,3.2692664,
8,3.2780791,
6,3.2791681,
4,3.284180,
10,3.3037095,
8,3.3105424,
10,3.3338266,
8,3.3522188,
2,3.386574,
14,3.394332,
10,3.4022328,
12,3.408488,
10,3.474534,
6,3.477927,
4,3.489370,
8,3.513748,
6,3.5271750,
10,3.5353379,
8,3.5404678,
8,3.627851,
10,3.633814,
10,3.6348063,
6,3.729715,
8,3.734902,
14,3.735100,
6,3.757021,
4,3.792137,
10,3.832974,
8,3.833787,
10,3.8369607,
12,3.840096,
12,3.844452,
12,3.8535338,
8,3.8891026,
10,3.8916536,
6,3.897056,
10,3.898130,
10,3.8998359,
4,3.905386,
8,3.906772,
12,3.9079193,
4,3.908103,
6,3.917120,
8,3.9296480,
6,3.939447,
12,3.9807939,
16,3.981502,
6,3.989128,
4,3.989996,
10,3.9944231,
8,4.0120508,
10,4.018053,
10,4.0222599,
8,4.022824,
6,4.0269232,
18,4.061913,
4,4.064207,
8,4.068048,
6,4.0737008,
4,4.082646,
14,4.085292,
8,4.1212796,
6,4.127779,
8,4.1405743,
4,4.152151,
8,4.168817,
12,4.170672,
20,4.171416,
10,4.181578,
8,4.187983,
12,4.1898171,
14,4.1921722,
14,4.2084306,
8,4.2106328,
16,4.221233,
2,4.224050,
6,4.226026,
6,4.239527,
8,4.252307,
10,4.2539388,
8,4.2607943,
10,4.270787,
14,4.2712276,
10,4.2722293,
12,4.2815337,
10,4.2883632,
12,4.3012353,
4,4.3393240,
6,4.342698,
10,4.3462265,
4,4.350565,
6,4.3719013,
10,4.384549,
8,4.387793,
16,4.408593,
18,4.417930,
6,4.422965,
8,4.4240353,
14,4.4583329,
16,4.485699,
14,4.4911575,
16,4.497395,
12,4.5043194,
10,4.5102641,
8,4.517461,
16,4.5445074,
12,4.5448545,
8,4.5792592,
10,4.5887214,
6,4.595373,
