g,LeveleV
5,0.00000,
7,0.04034,
9,0.09109,
5,1.35878,
1,1.62702,
3,1.64145,
5,1.66862,
9,2.28022,
1,5.26463,
3,11.92680,
5,11.95358,
7,12.00142,
5,12.42330,
5,17.88758,
3,18.11629,
5,18.15492,
7,18.20771,
5,18.24244,
7,18.30707,
9,18.39544,
3,18.77456,
1,18.77730,
5,18.79195,
7,19.08349,
3,19.28766,
7,26.77534,
3,26.89279,
5,26.91796,
7,26.94797,
7,27.00826,
3,27.02740,
9,27.04095,
11,27.08603,
3,27.31911,
5,27.62301,
7,27.65257,
9,27.68624,
5,27.99614,
1,28.08510,
3,28.09694,
5,28.11916,
9,28.23275,
1,29.02740,
3,29.27869,
5,29.30024,
7,29.35535,
5,29.46346,
5,31.55011,
3,31.59416,
5,31.63417,
7,31.67121,
5,31.67341,
7,31.70866,
9,31.77116,
1,31.83169,
3,31.83689,
5,31.88169,
7,31.94959,
3,32.02373,
9,32.62166,
5,32.68137,
7,32.68326,
9,32.70981,
7,32.71972,
9,32.74585,
11,32.75189,
9,32.78166,
5,32.79169,
11,32.80521,
13,32.83668,
7,32.84369,
3,32.85826,
5,32.86417,
7,32.88949,
5,32.96482,
11,33.05422,
7,35.14449,
3,35.17713,
5,35.20412,
7,35.22405,
7,35.23962,
9,35.25368,
3,35.25685,
11,35.29821,
3,35.37252,
5,35.43455,
7,35.46654,
9,35.49500,
5,35.61092,
5,35.67439,
9,35.72327,
3,36.17809,
5,36.19323,
7,36.25516,
5,36.29844,
7,37.97922,
9,37.97979,
11,38.04715,
9,38.04781,
,46.709,

#ignore,test#23.87
