g,LeveleV
2,0.00000000,
4,0.18831080,
6,0.39333652,
8,0.58474395,
10,0.76214141,
6,0.91999511,
4,1.08006032,
2,1.09511870,
4,1.31330076,
6,1.40114840,
2,1.63328563,
8,1.66286851,
6,1.66561240,
4,1.81442642,
10,1.84205307,
6,1.85576387,
8,1.87798580,
6,2.01284813,
10,2.05232122,
8,2.05684863,
12,2.16190404,
8,2.23179331,
4,2.3545751,
10,2.36444686,
6,2.38997285,
2,2.4057883,
14,2.41055856,
6,2.43471602,
8,2.48460391,
4,2.53620688,
12,2.54591521,
10,2.57643603,
6,2.74499292,
8,2.75170914,
4,2.7900103,
2,2.7940595,
8,2.85742960,
10,2.88074533,
6,2.90748128,
8,2.95128291,
12,2.97008474,
8,3.07537994,
4,3.0985624,
2,3.1052138,
4,3.1206670,
10,3.12554655,
6,3.1829346,
10,3.24325070,
6,3.2517208,
2,3.2888929,
12,3.33877147,
8,3.38151440,
6,3.4862913,
14,3.49481426,
12,3.51837213,
4,3.5324239,
8,3.54987689,
10,3.6378732,
4,3.7472667,
6,3.7961538,
10,3.79799890,
12,3.85594403,
14,3.8865435,
8,3.8989222,
6,3.9103110,
4,4.0278158,
4,4.0853074,
8,4.0853364,
12,4.2043721,
10,4.2267288,
6,4.2709659,
8,4.3785745,
10,4.4419377,
6,4.4541740,
2,4.48393267,
8,4.6261254,
4,4.70786946,
2,4.78285325,
4,4.85143473,
6,4.95153734,
10,5.1557574,
6,5.21347082,
4,5.24431127,
8,5.25572576,
6,5.49929234,
2,5.51174383,
10,5.54929653,
8,5.56406479,
4,5.56833604,
2,5.6359579,
4,5.64793303,
8,5.72501934,
6,5.74733761,
10,5.76444148,
2,5.7807981,
4,5.84956717,
6,5.87849628,
4,5.90024025,
6,5.98651478,
12,5.99249826,
8,6.05423532,
4,6.07311043,
8,6.09066275,
2,6.09437930,
10,6.09767108,
6,6.10523511,
6,6.23545720,
4,6.25264699,
10,6.30622143,
8,6.32880961,
4,6.3547393,
6,6.37750713,
12,6.38457299,
2,6.3897266,
8,6.43019236,
6,6.4579786,
8,6.48131005,
2,6.49122371,
10,6.51751158,
2,6.5207959,
4,6.5467391,
8,6.5589865,
6,6.5852388,
4,6.61204779,
8,6.61307847,
10,6.61703803,
4,6.6236140,
2,6.62574197,
14,6.6506679,
6,6.69840862,
10,6.70216348,
4,6.7121604,
12,6.7235493,
6,6.7417473,
2,6.7553660,
8,6.75696623,
6,6.78250412,
12,6.81399462,
8,6.8219741,
6,6.83926471,
10,6.86778802,
4,6.8796518,
4,6.95357020,
12,6.98980372,
10,6.99440105,
14,6.99762390,
6,7.0106255,
8,7.01909709,
8,7.03840962,
6,7.05159918,
4,7.05871116,
10,7.07819366,
6,7.09836044,
8,7.15760703,
6,7.1733239,
10,7.18946415,
4,7.1920369,
2,7.2293697,
6,7.23287809,
8,7.25774113,
10,7.27638030,
8,7.2790644,
4,7.2838289,
12,7.30164543,
8,7.34939323,
4,7.3610026,
10,7.36457943,
6,7.3699990,
4,7.4162865,
8,7.42282857,
8,7.43083076,
6,7.43810702,
12,7.46620631,
8,7.4708597,
10,7.47360953,
8,7.4916506,
6,7.49791117,
6,7.5204525,
4,7.5215455,
6,7.5507645,
10,7.56996050,
4,7.5776243,
12,7.59289311,
8,7.6034898,
10,7.60774208,
8,7.6313079,
6,7.6333170,
12,7.63611946,
14,7.63770782,
2,7.7032755,
10,7.72804109,
6,7.7283377,
10,7.74121206,
4,7.7433784,
8,7.75658660,
14,7.77562871,
10,7.7758127,
4,7.7768704,
12,7.8068528,
6,7.8097199,
14,7.82190693,
4,7.8277142,
8,7.8440412,
8,7.9087341,
16,7.91953543,
6,7.9201435,
6,7.9387716,
10,7.96072596,
4,7.9666248,
6,7.9734379,
8,7.9792201,
10,7.99899257,
4,8.0346934,
8,8.0461188,
12,8.0551507,
6,8.0577805,
10,8.05938105,
4,8.0961328,
12,8.09945944,
8,8.1154472,
6,8.1186108,
8,8.1388148,
12,8.14388546,
8,8.1862802,
6,8.2008723,
10,8.21655719,
12,8.2701746,
10,8.2841642,
8,8.2943022,
10,8.3104939,
6,8.3284594,
10,8.4119895,
12,8.4324910,
14,8.44072099,
8,8.4758477,
6,8.4859478,
4,8.4928539,
8,8.5077945,
10,8.5220121,
14,8.5592569,
6,8.5624369,
10,8.5680241,
6,8.6146344,
8,8.6268619,
12,8.6277866,
14,8.6789595,
8,8.7051537,
8,8.7624821,
16,8.7837585,
10,8.7907859,
12,8.8232331,
14,8.8301629,
10,8.8332582,
10,8.9002543,
12,8.9492578,
10,8.9766520,
10,8.9960325,
8,9.0009184,
16,9.0286709,
12,9.0838656,
8,9.1038543,
10,9.1383750,
10,9.2302431,
,16.37,

#ignore,test#56.65
