g,LeveleV
1,0.0000000,
3,0.1041713,
5,0.1295729,
7,0.1797463,
5,0.4086742,
5,0.9922612,
7,1.0325452,
9,1.0840338,
1,1.7213196,
3,1.7380436,
5,1.7479387,
5,1.8390405,
9,1.9444324,
1,2.9068173,
3,2.9478787,
5,3.0558535,
1,3.1083155,
5,3.2418461,
5,3.3757211,
3,3.4116359,
7,3.4135728,
9,3.5204293,
3,3.5453635,
5,3.5620673,
7,3.6220692,
1,3.9735433,
3,3.9828751,
5,4.0026340,
7,4.1332274,
3,5.5258071,
3,6.8136859,
5,6.8231417,
7,6.8991803,
5,6.9090842,
3,7.2237209,
7,7.2572038,
3,7.2803995,
1,7.2873479,
5,7.3085740,
3,7.3333627,
7,7.3373339,
7,7.3557196,
9,7.3736680,
5,7.3981690,
3,7.4039449,
11,7.4267175,
5,7.5054978,
3,7.5880390,
5,7.6049447,
1,7.6088181,
7,7.6439032,
9,7.6789867,
5,7.7487058,
5,7.8517126,
9,7.8544279,
3,7.8821060,
5,7.9033562,
7,7.9359818,
1,7.9388951,
5,7.9451968,
3,7.9676884,
7,7.9691522,
9,8.0071660,
3,8.0079394,
5,8.0090367,
1,8.0115280,
5,8.0739868,
3,8.0754167,
5,8.0825495,
7,8.0850862,
7,8.0931968,
3,8.1166115,
1,8.1188332,
1,8.5676363,
3,8.5803320,
5,8.6108526,
9,8.6474561,
5,8.6666397,
7,8.6761423,
9,8.6890561,
5,8.7066790,
7,8.7120752,
11,8.7142490,
9,8.7303752,
5,8.7525910,
3,8.7557621,
13,8.7764173,
9,8.7765269,
7,8.7837765,
11,8.7920949,
3,8.7972482,
5,8.8000552,
7,8.8250075,
5,8.8585046,
3,8.8711512,
1,8.8807063,
11,8.8816857,
3,8.9367566,
3,9.1335017,
5,9.1459205,
7,9.2213132,
5,9.2470592,
7,9.3613014,
3,9.3654408,
7,9.3927240,
5,9.3950343,
9,9.4160145,
5,9.4258129,
7,9.4302209,
3,9.4311710,
9,9.4354181,
7,9.4449032,
7,9.4631361,
11,9.4729837,
3,9.4856132,
5,9.4870896,
7,9.5328840,
9,9.5580138,
5,9.5979664,
5,9.6000624,
1,9.6003397,
3,9.6049160,
9,9.6244485,
5,9.6285259,
3,9.6286502,
7,9.6551603,
5,9.6555583,
5,9.6838006,
7,9.6943453,
9,9.7270624,
7,9.7570897,
3,9.7689108,
1,9.7882053,
3,9.9078994,
9,9.9467429,
5,9.9582002,
9,9.9632150,
7,9.9675573,
11,9.9813367,
7,9.9919338,
5,10.005387,
3,10.0207162,
11,10.0235174,
9,10.0236771,
7,10.0282608,
9,10.0282981,
9,10.0298863,
11,10.0403442,
13,10.0407301,
7,10.0438767,
5,10.0441132,
13,10.0466168,
9,10.0588736,
5,10.0619365,
7,10.0649318,
11,10.0692720,
7,10.0893841,
5,10.0961782,
3,10.1016713,
11,10.1132874,
9,10.1133912,
11,10.1147718,
11,10.1162216,
13,10.1165011,
7,10.1195926,
9,10.1196247,
3,10.1290283,
7,10.1298122,
5,10.1300507,
15,10.1336019,
13,10.1341047,
3,10.1391511,
5,10.1398737,
3,10.190902,
5,10.1933831,
7,10.2216683,
5,10.2325129,
3,10.2464539,
5,10.2792094,
7,10.3118936,
7,10.3435355,
3,10.346948,
5,10.3533655,
7,10.3624891,
5,10.3713934,
9,10.3775788,
3,10.390398,
5,10.4122324,
7,10.4291210,
11,10.4420183,
1,10.448793,
7,10.4638915,
9,10.4797277,
5,10.4977103,
3,10.509211,
9,10.5110796,
5,10.5337170,
9,10.650307,
5,10.656201,
9,10.659796,
7,10.663412,
11,10.673268,
7,10.675218,
5,10.686263,
3,10.695187,
9,10.733818,
7,10.750882,
5,10.751566,
9,10.752469,
11,10.760104,
7,10.764711,
5,10.77410,
3,10.777067,
11,10.7853652,
3,10.793152,
5,10.81374,
7,10.81379,
9,10.81420,
7,10.898935,
5,10.904666,
9,10.913366,
11,10.9849712,
9,11.004619,
3,11.069066,
7,11.07721,
11,11.08906,
7,11.09375,
5,11.09744,
3,11.10038,
9,11.17070,
7,11.17158,
11,11.17529,
5,11.18340,
3,11.18490,
11,11.19052,
,12.2236,

#ignore,test#30.65
