g,LeveleV
2,0.000000,
8,2.655587,
4,2.846776,
6,3.016869,
6,3.317696,
2,3.355238,
4,3.565535,
10,3.747339,
4,3.768156,
12,3.789303,
6,3.913943,
14,3.921817,
8,3.965002,
6,4.013505,
4,4.089196,
10,4.097962,
8,4.152811,
2,4.172547,
6,4.263787,
4,4.286800,
12,4.312784,
10,4.341819,
8,4.346762,
12,4.442562,
6,4.597035,
8,4.651464,
10,4.753805,
2,4.882360,
8,4.963809,
10,5.073174,
6,5.167504,
4,5.168709,
12,5.320798,
2,5.332286,
4,5.340631,
6,5.449900,
8,5.509614,
6,5.516988,
4,5.571926,
6,5.580875,
8,5.613139,
10,5.620827,
8,5.632580,
4,5.670701,
10,5.724323,
10,5.747232,
12,5.771182,
2,5.815195,
4,5.827934,
2,5.855645,
6,5.868103,
10,5.909523,
14,5.911616,
8,5.921304,
8,5.940369,
4,5.954304,
6,5.985061,
12,6.013707,
8,6.020247,
8,6.062878,
16,6.065716,
8,6.076333,
10,6.112565,
2,6.127191,
6,6.136975,
14,6.165386,
10,6.188857,
12,6.257241,
4,6.302445,
6,6.354049,
2,6.455593,
12,6.511322,
10,6.556377,
8,6.561445,
4,6.563477,
4,6.569645,
6,6.586113,
16,6.611196,
6,6.621371,
8,6.651119,
8,6.659843,
6,6.659982,
10,6.660519,
12,6.719015,
2,6.732875,
10,6.774598,
4,6.846588,
8,6.876496,
4,6.906177,
6,6.950171,
10,6.954074,
6,6.989722,
10,7.002723,
8,7.005187,
12,7.020128,
4,7.047267,
2,7.064336,
8,7.079872,
8,7.133363,
14,7.136731,
10,7.161987,
6,7.166102,
12,7.197470,
4,7.211262,
6,7.226284,
10,7.251159,
6,7.273053,
2,7.274467,
6,7.293194,
12,7.310278,
10,7.320881,
8,7.326242,
6,7.347209,
6,7.369507,
8,7.391802,
8,7.392516,
14,7.393452,
4,7.403177,
12,7.408532,
4,7.411412,
4,7.511764,
10,7.519624,
4,7.551895,
8,7.569367,
2,7.577975,
10,7.589651,
6,7.609467,
12,7.617939,
8,7.665023,
14,7.671324,
8,7.692732,
2,7.703999,
6,7.707344,
4,7.708606,
6,7.756330,
12,7.793804,
4,7.812474,
4,7.814508,
10,7.831312,
6,7.840030,
6,7.862710,
4,7.891313,
6,7.898081,
2,7.898568,
10,7.901120,
12,7.928068,
8,7.929757,
6,7.941909,
8,7.955990,
4,7.958790,
10,7.980243,
4,7.992155,
8,8.009166,
16,8.045496,
10,8.049440,
8,8.055345,
8,8.070521,
2,8.077485,
10,8.083713,
2,8.129237,
8,8.130525,
4,8.132632,
6,8.150655,
14,8.167555,
4,8.169128,
10,8.176876,
12,8.193155,
4,8.206390,
6,8.208482,
6,8.226502,
6,8.232020,
2,8.240344,
8,8.252140,
12,8.253824,
8,8.281652,
4,8.332354,
10,8.358522,
4,8.404839,
6,8.422682,
8,8.423323,
2,8.425375,
6,8.447663,
12,8.449384,
4,8.449594,
8,8.486732,
10,8.499021,
14,8.520249,
8,8.524663,
10,8.547923,
6,8.564814,
8,8.603908,
4,8.609899,
6,8.630235,
10,8.673623,
2,8.682494,
14,8.695785,
6,8.741246,
8,8.750828,
12,8.777332,
10,8.785295,
6,8.797208,
4,8.816992,
8,8.830447,
6,8.836355,
6,8.860989,
4,8.897561,
8,8.951911,
12,9.003204,
8,9.023569,
2,9.055757,
4,9.065317,
10,9.085977,
12,9.087044,
2,9.129803,
4,9.132340,
10,9.143946,
8,9.170716,
6,9.208366,
10,9.245326,
8,9.295518,
2,9.297512,
4,9.297744,
6,9.306020,
6,9.367123,
8,9.378172,
2,9.411116,
6,9.443907,
14,9.451762,
8,9.462907,
10,9.486789,
4,9.486925,
12,9.503364,
6,9.506651,
4,9.521871,
6,9.526822,
4,9.581997,
8,9.602492,
6,9.621990,
10,9.639449,
8,9.656142,
2,9.656794,
10,9.679470,
4,9.728390,
6,9.771797,
10,9.810477,
6,9.867048,
4,9.869880,
8,9.872702,
8,9.975485,
6,9.975638,
8,9.977232,
8,9.994050,
12,10.002943,
10,10.068170,
6,10.081484,
4,10.106277,
6,10.124194,
8,10.128631,
2,10.178027,
4,10.216171,
6,10.277273,
8,10.335804,
4,10.394818,
6,10.416654,
10,10.441683,
8,10.469730,
6,10.493119,
6,10.650011,
8,10.651011,
8,10.662011,
6,10.681074,
4,10.690700,
2,10.757893,
8,10.834451,
4,10.886418,
6,10.908249,
12,10.997767,
8,11.000017,
6,11.056396,
8,11.057585,
10,11.109703,
6,11.110917,
6,11.123015,
4,11.145876,
8,11.176275,
10,11.184574,
12,11.193179,
4,11.209951,
6,11.222985,
10,11.247541,
6,11.265089,
8,11.312063,
14,11.319952,
8,11.321171,
6,11.321598,
8,11.349067,
6,11.357267,
10,11.408500,
6,11.433765,
4,11.441047,
8,11.444143,
12,11.486806,
6,11.501347,
8,11.501631,
10,11.519886,
8,11.520500,
8,11.527617,
12,11.542470,
8,11.554711,
12,11.560583,
14,11.561054,
8,11.587936,
10,11.593005,
6,11.598226,
8,11.630725,
6,11.637723,
10,11.638052,
4,11.654331,
8,11.655626,
8,11.692154,
12,11.696136,
10,11.699149,
4,11.707679,
8,11.726306,
4,11.756576,
8,11.798752,
10,11.846758,
8,11.85533,
8,11.864212,
12,11.872020,
12,11.949852,
10,11.962298,
12,12.013825,
14,12.031833,
10,12.037193,
,12.179185,
10,12.215138,
14,12.227324,
12,12.249969,
14,12.253295,
12,12.304982,
10,12.325817,
12,12.401590,

#ignore,test#7.65
