Element;Mass;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
H;1.008;13.597568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
He;4.002602;24.5865172;54.416182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Li;6.94;5.3913528;75.6375084;122.45066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Be;9.0121831;9.322418;18.2105844;153.8919268;217.7124024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;10.81;8.2974184;25.1544644;37.9291308;259.3673912;340.2159188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;12.011;11.260486;24.3823464;47.886862;64.4920628;392.080484;489.978828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N;14.007;14.5334372;29.599584;47.4474284;77.4709;97.8869436;552.0550424;667.02704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O;15.999;13.6172596;35.1163412;54.934382;77.4107888;113.895178;138.115846;739.26412;871.384392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F;18.998403163;17.421884;34.9702088;62.7063456;87.1374028;114.2392628;157.1607324;185.183952;953.8828684;1103.0850852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ne;20.1797;21.5643748;40.9616372;63.448408;97.121044;126.202428;157.926632;207.269636;239.092298;1195.793138;1362.161248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Na;22.98976928;5.1384712;47.280568;71.6183492;98.903652;138.400856;172.177132;208.492588;264.240544;299.851248;1465.075768;1648.663664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mg;24.305;7.6455228;15.0350548;80.1417028;109.26247;141.26132;186.75928;225.012804;265.950604;328.051692;367.486712;1761.755632;1962.609952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al;26.9815384;5.98521;18.8282788;28.4471072;119.984028;153.822488;190.479956;241.750664;284.64726;330.124492;398.734172;441.993508;2085.920824;2304.083024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Si;28.085;8.151286;16.3450644;33.4923024;45.140402;166.767124;205.25902;246.45592;303.530468;351.111592;401.356264;476.350168;523.402728;2437.571344;2673.113972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P;30.973761998;10.4862952;19.764148;30.2017324;51.4427504;65.0226996;220.411188;263.566884;309.593408;372.11942;424.4058;479.449004;560.79604;611.724736;2816.841924;3069.76498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S;32.06;10.3598544;23.339728;34.791948;47.218384;72.5925652;88.0504712;280.936948;328.735716;379.540044;447.486428;504.83044;564.42344;652.20652;706.990624;3223.701472;3494.098232;0;0;0;0;0;0;0;0;0;0;0;0;0;0
