,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
825,206.5776,5.999965,186000000.0,5.02,B,III,0.0,0.5,5.999905,1.5,LN,3.0,4.0
852,206.7233,5.995737,186200000.0,5.02,B,III,0.0,0.5,5.995677,0.5,LN,3.0,2.0
1088,208.8894,5.933571,37930000.0,5.0,B,I,0.0,0.5,5.933512,1.5,BRO,1.0,4.0
1102,208.9556,5.931693,45980000.0,5.0,B,I,0.0018780000000000001,1.5,5.933512,2.5,BRO,1.0,6.0
1103,208.9556,5.931693,7563000.0,5.0,B,I,0.0018780000000000001,1.5,5.933512,1.5,BRO,1.0,4.0
8390,249.678,4.9643180000000005,95520000.0,5.0,B,I,0.0,0.5,4.964268,0.5,BRO,1.0,2.0
8406,249.7725,4.962439,190400000.0,5.0,B,I,0.0018780000000000001,1.5,4.964268,0.5,BRO,1.0,2.0
72730,602.7696,2.0563599999999997,102700.0,5.0,B,I,6.027097,0.5,8.083436,1.5,KP,1.0,4.0
72736,602.8344,2.056139,121700.0,5.0,B,I,6.027318,1.5,8.083436,2.5,KP,1.0,6.0
74033,622.7439,1.990403,118400.0,5.0,B,I,6.027097,0.5,8.01748,1.5,KP,1.0,4.0
74036,622.8131,1.990182,143600.0,5.0,B,I,6.027318,1.5,8.01748,2.5,KP,1.0,6.0
76093,656.2678,1.888729,131100.0,5.0,B,I,6.027097,0.5,7.915807000000001,1.5,KP,1.0,4.0
76097,656.3447,1.888508,155400.0,5.0,B,I,6.027318,1.5,7.915807000000001,2.5,KP,1.0,6.0
80019,720.5947,1.720125,94720.0,5.0,B,I,6.027097,0.5,7.747205,1.5,KP,1.0,4.0
80028,720.6873,1.719904,112300.0,5.0,B,I,6.027318,1.5,7.747205,2.5,KP,1.0,6.0
