,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
13467,268.0341,4.624361,248600.0,11.0,Na,I,0.0,0.5,4.624314,1.5,KP,1.0,4.0
18360,285.2811,4.344803,678100.0,11.0,Na,I,0.0,0.5,4.34476,1.5,KP,1.0,4.0
18365,285.3012,4.3444970000000005,664100.0,11.0,Na,I,0.0,0.5,4.344453,0.5,KP,1.0,2.0
29283,330.2368,3.7533589999999997,3049000.0,11.0,Na,I,0.0,0.5,3.7533220000000003,1.5,KP,1.0,4.0
29290,330.2978,3.7526660000000005,3055000.0,11.0,Na,I,0.0,0.5,3.752628,0.5,KP,1.0,2.0
50717,421.3001,2.942096,210200.0,11.0,Na,I,2.102297,0.5,5.044363,1.5,GUES,1.0,4.0
50776,421.6057,2.939963,279200.0,11.0,Na,I,2.104429,1.5,5.044363,2.5,GUES,1.0,6.0
51222,423.8987,2.92406,286600.0,11.0,Na,I,2.102297,0.5,5.0263279999999995,1.5,KP,1.0,4.0
51292,424.2081,2.921928,347200.0,11.0,Na,I,2.104429,1.5,5.0263279999999995,2.5,KP,1.0,6.0
51888,427.3643,2.9003490000000003,389200.0,11.0,Na,I,2.102297,0.5,5.002617,1.5,KP,1.0,4.0
51955,427.6786,2.898217,471500.0,11.0,Na,I,2.104429,1.5,5.002617,2.5,KP,1.0,6.0
52249,429.1005,2.888614,233200.0,11.0,Na,I,2.104429,1.5,4.993015,0.5,KP,1.0,2.0
52857,432.1401,2.868296,550300.0,11.0,Na,I,2.102297,0.5,4.970565000000001,1.5,KP,1.0,4.0
52914,432.4616,2.866164,651400.0,11.0,Na,I,2.104429,1.5,4.970565000000001,2.5,KP,1.0,6.0
52915,432.4616,2.866164,109600.0,11.0,Na,I,2.104429,1.5,4.970565000000001,1.5,KP,1.0,4.0
53301,434.4734,2.852893,321300.0,11.0,Na,I,2.104429,1.5,4.957294,0.5,KP,1.0,2.0
54118,439.0023,2.8234619999999997,807000.0,11.0,Na,I,2.102297,0.5,4.925731,1.5,KP,1.0,4.0
54189,439.334,2.82133,955300.0,11.0,Na,I,2.104429,1.5,4.925731,2.5,KP,1.0,6.0
54190,439.334,2.82133,160800.0,11.0,Na,I,2.104429,1.5,4.925731,1.5,KP,1.0,4.0
54666,441.9884,2.8043869999999997,235500.0,11.0,Na,I,2.102297,0.5,4.906656,0.5,KP,1.0,2.0
54728,442.3247,2.8022549999999997,469200.0,11.0,Na,I,2.104429,1.5,4.906656,0.5,KP,1.0,2.0
55973,449.418,2.7580259999999996,1249000.0,11.0,Na,I,2.102297,0.5,4.860296,1.5,KP,1.0,4.0
56031,449.7657,2.755894,1513000.0,11.0,Na,I,2.104429,1.5,4.860296,2.5,KP,1.0,6.0
56032,449.7657,2.755894,248800.0,11.0,Na,I,2.104429,1.5,4.860296,1.5,KP,1.0,4.0
56699,454.1634,2.729209,361800.0,11.0,Na,I,2.102297,0.5,4.831479,0.5,KP,1.0,2.0
56755,454.5184,2.727077,720700.0,11.0,Na,I,2.104429,1.5,4.831479,0.5,KP,1.0,2.0
58432,466.4811,2.6571439999999997,2159000.0,11.0,Na,I,2.102297,0.5,4.759415,1.5,KP,1.0,4.0
58486,466.8557,2.6550119999999997,430000.0,11.0,Na,I,2.104429,1.5,4.759415,1.5,KP,1.0,4.0
58487,466.8559,2.65501,2555000.0,11.0,Na,I,2.104429,1.5,4.7594129999999994,2.5,KP,1.0,6.0
59540,474.7941,2.610622,602300.0,11.0,Na,I,2.102297,0.5,4.712893,0.5,KP,1.0,2.0
59595,475.1822,2.60849,1200000.0,11.0,Na,I,2.104429,1.5,4.712893,0.5,KP,1.0,2.0
62375,497.8541,2.489702,4146000.0,11.0,Na,I,2.102297,0.5,4.591975,1.5,KP,1.0,4.0
62425,498.2809,2.4875700000000003,825800.0,11.0,Na,I,2.104429,1.5,4.591975,1.5,KP,1.0,4.0
62426,498.2814,2.487568,5021000.0,11.0,Na,I,2.104429,1.5,4.591972,2.5,KP,1.0,6.0
64187,514.8839,2.407357,1095000.0,11.0,Na,I,2.102297,0.5,4.5096300000000005,0.5,KP,1.0,2.0
64237,515.3402,2.405225,2181000.0,11.0,Na,I,2.104429,1.5,4.5096300000000005,0.5,KP,1.0,2.0
69685,568.2633,2.1812259999999997,10300000.0,11.0,Na,I,2.102297,0.5,4.283501,1.5,KP,1.0,4.0
69735,568.8194,2.179093,2051000.0,11.0,Na,I,2.104429,1.5,4.283501,1.5,KP,1.0,4.0
69737,568.8205,2.179089,12180000.0,11.0,Na,I,2.104429,1.5,4.2834970000000006,2.5,KP,1.0,6.0
73586,615.4226,2.014082,2424000.0,11.0,Na,I,2.102297,0.5,4.116358999999999,0.5,KP,1.0,2.0
73642,616.0747,2.01195,4826000.0,11.0,Na,I,2.104429,1.5,4.116358999999999,0.5,KP,1.0,2.0
80946,737.3226,1.6811,54510.0,11.0,Na,I,3.191352,0.5,4.872435,1.5,KP,1.0,4.0
83191,780.9778,1.58713,101500.0,11.0,Na,I,3.191352,0.5,4.778466000000001,1.5,KP,1.0,4.0
83193,781.0236,1.587037,101700.0,11.0,Na,I,3.191352,0.5,4.778373,0.5,KP,1.0,2.0
