element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ac	3	"262.6440"	"0.0003"	"262.6438"	"0.0005"	"200000h"	"3.97e+08"	B+	"0.000000"	"4.719214"	"6p6.7s"	"2S"	"1/2"	"6p6.7p"	"2P*"	"3/2"	2	2		"T9249,T8113"	"L7344"	
Ac	2	"263.0192"	"0.0007"	"263.01958"	"0.00021"	"2500"	"6.8e+07"	D+	"0.6530431"	"5.365515"	"6d.7s"	"a 3D"	"2"	"5f.6d"	"x 3F*"	"3"	5	7		"u42"	"L7344"	
Ac	2	"265.7809"	"0.0007"	"265.78102"	"0.00021"	"3200c"	"8.e+07"	D+	"0.9207678"	"5.584281"	"6d.7s"	"a 3D"	"3"	"5f.6d"	"x 3F*"	"4"	7	9		"u42"	"L7344"	
Ac	3	"268.2900"	"0.0003"	"268.2899"	"0.0004"	"14000h"	"2.89e+07"	B+	"0.099310"	"4.719214"	"6p6.6d"	"2D"	"3/2"	"6p6.7p"	"2P*"	"3/2"	2	2		"T9249,T8113"	"L7344"	
Ac	2	"271.2502"	"0.0007"	"271.24965"	"0.00022"	"1500"	"2.5e+07"	E	"0.000000"	"4.5694975"	"7s2"	"a 1S"	"0"	"6d.7p"	"y 3P*"	"1"	1	3		"u42"	"L7344"	
Ac	2	"271.3718"	"0.0007"	"271.37155"	"0.00022"	"1100"	"3.4e+07"	E	"0.5876395"	"5.155084"	"6d.7s"	"a 3D"	"1"	"5f.6d"	"x 3F*"	"2"	3	5		"u42"	"L7344"	
Ac	2	"272.6232"	"0.0007"	"272.62268"	"0.00017"	"1200"	"2.8e+07"	D+	"0.6530431"	"5.1995281"	"6d.7s"	"a 3D"	"2"	"6d.7p"	"y 1F*"	"3"	5	7		"u42"	"L7344"	
Ac	2	"276.0180"	"0.0013"	"276.0161"	"0.0004"	"690hl"	"3.1e+08"	D+	"2.598265"	"7.088857"	"7s.7p"	"z 3P*"	"0"	""	""	"1"	1	3		"u42"	"L7344"	
Ac	2	"280.6759"	"0.0008"	"280.67601"	"0.00024"	"1200"	"1.6e+08"	E	"1.1267089"	"5.542750"	"6d.7s"	"a 1D"	"2"	"5f.6d"	"y 1D*"	"2"	5	5		"T9107"	"L7344"	
Ac	2	"283.3472"	"0.0008"	"283.3480"	"0.0003"	"440"	"9.e+07"	E	"1.6411072"	"6.015506"	"6d2"	"a 3F"	"2"	"5f.6d"	"y 3D*"	"1"	5	3		"T9107"	"L7344"	
Ac	2	"284.7160"	"0.0008"	"284.71600"	"0.00024"	"5400hl"	"6.e+08"	E	"1.1267089"	"5.480092"	"6d.7s"	"a 1D"	"2"	"6d.7p"	"y 1P*"	"1"	5	3		"u42"	"L7344"	
Ac	2	"285.6730"	"0.0013"	"285.6715"	"0.0004"	"340h"	"1.9e+08"	D+	"2.750035"	"7.088857"	"7s.7p"	"z 3P*"	"1"	""	""	"1"	3	3		"u42"	"L7344"	
Ac	2	"289.6820"	"0.0008"	"289.68173"	"0.00019"	"2000c"	"4.5e+07"	D+	"0.9207678"	"5.1995281"	"6d.7s"	"a 3D"	"3"	"6d.7p"	"y 1F*"	"3"	7	7		"u42"	"L7344"	
Ac	2	"292.3019"	"0.0009"	"292.3011"	"0.0003"	"1700"	"2.8e+07"	D+	"0.9207678"	"5.161187"	"6d.7s"	"a 3D"	"3"	"5f.6d"	"z 1G*"	"4"	7	9		"u42"	"L7344"	
Ac	2	"294.4421"	"0.0009"	"294.4411"	"0.0006"	"110"	"5.1e+07"	D+	"2.7523788"	"6.961981"	"6d2"	"b 1D"	"2"	"5f.6d"	"x 1P*"	"1"	5	3		"u42"	"L7344"	
Ac	3	"295.2550"	"0.0003"	"295.2553"	"0.0006"	"100000h"	"2.30e+08"	B+	"0.5212214"	"4.719214"	"6p6.6d"	"2D"	"5/2"	"6p6.7p"	"2P*"	"3/2"	2	2		"T9249,T8113"	"L7344"	
Ac	2	"296.6449"	"0.0009"	"296.6443"	"0.0004"	"94h"	"2.2e+07"	E	"3.7047793"	"7.883117"	"5f.7s"	"z 1F*"	"3"	"5f.(2F*<7/2>).7p<3/2>"	"e 1D"	"2"	7	5		"u42"	"L7344"	
Ac	2	"299.4170"	"0.0009"	"299.4165"	"0.0004"	"7000"	"1.6e+08"	E	"0.000000"	"4.139654"	"7s2"	"a 1S"	"0"	"6d.7p"	"z 3D*"	"1"	1	3		"T9107"	"L7344"	
Ac	2	"301.9868"	"0.0009"	"301.98606"	"0.00018"	"5000c"	"8.6e+07"	D+	"0.6530431"	"4.7574742"	"6d.7s"	"a 3D"	"2"	"6d.7p"	"y 3P*"	"2"	5	5		"u42"	"L7344"	
Ac	1	"303.6930"	"0.0003"	"303.69294"	"0.00017"	"240"	"2.9e+07"	D+	"0.0000000"	"4.0813634"	"6d.7s2"	"a 2D"	"3/2"	"6d2.(3P).7p"	"4S*"	"3/2"	4	4		"u42"	"L7344"	
Ac	2	"304.3301"	"0.0009"	"304.33007"	"0.00020"	"12000"	"3.6e+08"	D+	"1.1267089"	"5.1995281"	"6d.7s"	"a 1D"	"2"	"6d.7p"	"y 1F*"	"3"	5	7		"u42"	"L7344"	
Ac	2	"306.9361"	"0.0009"	"306.9363"	"0.0003"	"3600"	"3.5e+08"	D+	"1.6411072"	"5.679345"	"6d2"	"a 3F"	"2"	"5f.6d"	"z 3G*"	"3"	5	7		"T9107"	"L7344"	
Ac	1	"307.6440"	"0.0003"	"307.64383"	"0.00018"	"670"	"7.e+07"	D+	"0.0000000"	"4.028951"	"6d.7s2"	"a 2D"	"3/2"	"6d2.(3P).7p"	"4D*"	"3/2"	4	4		"u42"	"L7344"	
Ac	2	"307.8068"	"0.0009"	"307.8070"	"0.0003"	"3000"	"3.7e+08"	D+	"1.8534617"	"5.880277"	"6d2"	"a 3F"	"3"	"5f.6d"	"z 3G*"	"4"	7	9		"T9107"	"L7344"	
Ac	1	"308.2960"	"0.0006"	"308.29507"	"0.00016"	"35"	"3.5e+07"	E	"0.2766623"	"4.2971029"	"6d.7s2"	"a 2D"	"5/2"	"6d2.(3P).7p"	"4D*"	"5/2"	6	6		"u42"	"L7344"	
Ac	2	"308.4849"	"0.0010"	"308.4852"	"0.0005"	"330"	"3.e+07"	E	"2.5848476"	"6.602811"	"6d2"	"a 1G"	"4"	"5f.6d"	"x 1F*"	"3"	9	7		"u42"	"L7344"	
Ac	2	"308.6039"	"0.0010"	"308.6030"	"0.0005"	"2900"	"4.1e+08"	D	"2.0775849"	"6.094014"	"6d2"	"a 3F"	"4"	"5f.6d"	"z 3G*"	"5"	9	11		"T9107"	"L7344"	
Ac	2	"308.7371"	"0.0010"	"308.7378"	"0.0003"	"4000"	"5.9e+07"	D+	"0.9207678"	"4.935443"	"6d.7s"	"a 3D"	"3"	"5f.6d"	"z 3H*"	"4"	7	9		"u42"	"L7344"	
Ac	1	"311.1570"	"0.0003"	"311.15684"	"0.00017"	"790"	"1.1e+08"	D+	"0.2766623"	"4.2601276"	"6d.7s2"	"a 2D"	"5/2"	"7s2.5f"	"2F*"	"7/2"	6	8		"u42"	"L7344"	
Ac	2	"311.2830"	"0.0010"	"311.28244"	"0.00021"	"6200"	"2.4e+08"	D+	"0.5876395"	"4.5694975"	"6d.7s"	"a 3D"	"1"	"6d.7p"	"y 3P*"	"1"	3	3		"u42"	"L7344"	
Ac	2	"312.0157"	"0.0010"	"312.0156"	"0.0004"	"3600"	"4.e+08"	E	"0.5876395"	"4.560141"	"6d.7s"	"a 3D"	"1"	"6d.7p"	"y 3P*"	"0"	3	1		"u42"	"L7344"	
Ac	1	"314.3710"	"0.0003"	"314.37088"	"0.00018"	"2000"	"6.3e+07"	D+	"0.0000000"	"3.9427409"	"6d.7s2"	"a 2D"	"3/2"	"6d2.(3F).7p"	"2F*"	"5/2"	4	6		"u42"	"L7344"	
Ac	2	"315.3092"	"0.0010"	"315.30874"	"0.00020"	"13000c"	"1.9e+08"	E	"0.6530431"	"4.5840571"	"6d.7s"	"a 3D"	"2"	"6d.7p"	"3F*"	"3"	5	7		"T8060"	"L7344"	
Ac	2	"315.4149"	"0.0010"	"315.4134"	"0.0003"	"100"	"4.2e+07"	D+	"3.8651541"	"7.794864"	"6d.7p"	"z 3F*"	"3"	"5f.(2F*<7/2>).7p<3/2>"	"e 3F"	"4"	7	9		"u42"	"L7344"	
Ac	2	"315.4410"	"0.0006"	"315.4409"	"0.0003"	"14000c"	"1.2e+08"	E	"0.9207678"	"4.850135"	"6d.7s"	"a 3D"	"3"	"6d.7p"	"z 3F*"	"4"	7	9		"T9107"	"L7344"	
Ac	2	"316.3010"	"0.0006"	"316.3001"	"0.0003"	"65h"	"4.e+07"	E	"3.496493"	"7.415187"	"7s.7p"	"z 3P*"	"2"	"5f.(2F*<5/2>).7p<3/2>"	"e 3D"	"2"	5	5		"u42"	"L7344"	
Ac	2	"316.4810"	"0.0006"	"316.48096"	"0.00020"	"5600cs"	"1.7e+08"	D+	"0.6530431"	"4.5694975"	"6d.7s"	"a 3D"	"2"	"6d.7p"	"y 3P*"	"1"	5	3		"u42"	"L7344"	
Ac	1	"317.1170"	"0.0003"	"317.11661"	"0.00018"	"1800"	"4.9e+07"	D+	"0.2766623"	"4.1852666"	"6d.7s2"	"a 2D"	"5/2"	"6d2.(3F).7p"	"2F*"	"7/2"	6	8		"u42"	"L7344"	
