element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
C	3	""	""	"200.9335"	"0.0010"	""	"7.69e+07"	B	"32.199384"	"38.367799"	"1s2.2s.3p"	"3P*"	"0"	"1s2.2s.4s"	"3S"	"1"	1	3		"T5633LS"	""	
C	3	""	""	"200.9564"	"0.0010"	""	"2.30e+08"	B	"32.200087"	"38.367799"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2s.4s"	"3S"	"1"	3	3		"T5633LS"	""	
C	3	""	""	"201.0093"	"0.0010"	""	"3.84e+08"	B	"32.201709"	"38.367799"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.4s"	"3S"	"1"	5	3		"T5633LS"	""	
C	2	""	""	"201.7925"	"0.0010"	""	"1.32e+07"	B	"16.331740"	"22.473902"	"2s2.3p"	"2P*"	"1/2"	"2s2.6s"	"2S"	"1/2"	2	2		"T5109LS"	""	
C	2	""	""	"201.8379"	"0.0010"	""	"2.64e+07"	B	"16.333123"	"22.473902"	"2s2.3p"	"2P*"	"3/2"	"2s2.6s"	"2S"	"1/2"	4	2		"T5109LS"	""	
C	2	""	""	"202.3129"	"0.0010"	""	"6.43e+05"	B	"20.701286"	"26.827650"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	2	4		"T5109LS"	""	
C	2	""	""	"202.3236"	"0.0010"	""	"4.63e+05"	B	"20.704212"	"26.830251"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"5/2"	4	6		"T5109LS"	""	
C	2	""	""	"202.3815"	"0.0010"	""	"2.57e+05"	C	"20.701286"	"26.825573"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).4p"	"4P"	"1/2"	2	2		"T5109LS"	""	
C	2	""	""	"202.4096"	"0.0010"	""	"2.06e+05"	C+	"20.704212"	"26.827650"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	4	4		"T5109LS"	""	
C	2	""	""	"202.4783"	"0.0010"	""	"1.28e+06"	B	"20.704212"	"26.825573"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"1/2"	4	2		"T5109LS"	""	
