element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Pb	1	"202.20162"	"0.00012"	"202.201749"	"0.000014"	"5r"	"5.9e+06"	C+	"0.0000000"	"6.12973122"	"6s2.6p2"	"(1/2,1/2)"	"0"	"6s2.6p.7s"	"(3/2,1/2)*"	"1"	1	3		"T7227"	"L50"	
Pb	1	"205.32836"	"0.00010"	"205.328150"	"0.000014"	"8r"	"1.02e+07"	C	"0.0000000"	"6.03641049"	"6s2.6p2"	"(1/2,1/2)"	"0"	"6s2.6p.8s"	"(1/2,1/2)*"	"1"	1	3		"T7227"	"L50"	
Pb	1	"217.00048"	"0.00011"	"217.000288"	"0.000016"	"500r"	"1.47e+08"	C+	"0.0000000"	"5.71175842"	"6s2.6p2"	"(1/2,1/2)"	"0"	"6s2.6p.(2P*<1/2>).6d"	"2[3/2]*"	"1"	1	3		"T7227"	"L50"	
Pb	2	"220.3534"	"0.0010"	"220.3534+"	"0.0005"	"10"	"4.94e+08"		"1.7458307"	"7.370682"	"6s2.6p"	"2P*"	"3/2"	"6s2.7s"	"2S"	"1/2"	4	2		"T7227"	"L2579"	
Pb	1	"240.193960"	"0.000017"	"240.193951"	"0.000009"	"320r"	"2.4e+07"	C	"0.96946501"	"6.12973122"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.7s"	"(3/2,1/2)*"	"1"	3	3		"T7227"	"L50"	
Pb	1	"244.618081"	"0.000016"	"244.618073"	"0.000009"	"160r"	"1.86e+07"	C+	"0.96946501"	"6.03641049"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.8s"	"(1/2,1/2)*"	"1"	3	3		"T7227"	"L50"	
Pb	1	"247.637759"	"0.000016"	"247.637766"	"0.000013"	"130r"	"2.6e+07"	C+	"0.96946501"	"5.97462861"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.7s"	"(3/2,1/2)*"	"2"	3	5		"T7227"	"L50"	
Pb	1	"257.725960"	"0.000017"	"257.725953"	"0.000008"	"80r"	"5.1e+07"	C+	"1.32047227"	"6.12973122"	"6s2.6p2"	"(3/2,1/2)"	"2"	"6s2.6p.7s"	"(3/2,1/2)*"	"1"	5	3		"T7227"	"L50"	
Pb	1	"261.36549"	"0.00002"	"261.365508"	"0.000012"	"500r"	"2.2e+07"	C+	"0.96946501"	"5.71175842"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.(2P*<1/2>).6d"	"2[3/2]*"	"1"	3	3		"T7227"	"L50"	
Pb	1	"261.41746"	"0.00002"	"261.417468"	"0.000012"	"900r"	"1.98e+08"	C+	"0.96946501"	"5.71081588"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.(2P*<1/2>).6d"	"2[3/2]*"	"2"	3	5		"T7227"	"L50"	
Pb	1	"262.826231"	"0.000016"	"262.826247"	"0.000009"	"160"	"4.1e+06"	D	"1.32047227"	"6.03641049"	"6s2.6p2"	"(3/2,1/2)"	"2"	"6s2.6p.8s"	"(1/2,1/2)*"	"1"	5	3		"T7227"	"L50"	
Pb	1	"265.709370"	"0.000017"	"265.709372"	"0.000012"	"10"	"9.8e+04"	C+	"0.96946501"	"5.63423513"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.(2P*<1/2>).6d"	"2[5/2]*"	"2"	3	5		"T7227"	"L50"	
Pb	1	"266.31535"	"0.00002"	"266.315356"	"0.000014"	"700"	"6.7e+07"	C+	"1.32047227"	"5.97462861"	"6s2.6p2"	"(3/2,1/2)"	"2"	"6s2.6p.7s"	"(3/2,1/2)*"	"2"	5	5		"T7227"	"L50"	
Pb	1	"280.19953"	"0.00002"	"280.199525"	"0.000013"	"25000r"	"1.61e+08"	C+	"1.32047227"	"5.74402262"	"6s2.6p2"	"(3/2,1/2)"	"2"	"6s2.6p.(2P*<1/2>).6d"	"2[5/2]*"	"3"	5	7		"T7227"	"L50"	
Pb	1	"282.31894"	"0.00002"	"282.318944"	"0.000013"	"14000r"	"2.7e+07"	C+	"1.32047227"	"5.71081588"	"6s2.6p2"	"(3/2,1/2)"	"2"	"6s2.6p.(2P*<1/2>).6d"	"2[3/2]*"	"2"	5	5		"T7227"	"L50"	
Pb	1	"283.30534"	"0.00002"	"283.305346"	"0.000024"	"35000r"	"4.9e+07"	C+	"0.0000000"	"4.37505823"	"6s2.6p2"	"(1/2,1/2)"	"0"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	1	3		"T7227"	"L50"	
Pb	1	"287.33111"	"0.00002"	"287.331100"	"0.000012"	"14000r"	"3.8e+07"	C+	"1.32047227"	"5.63423513"	"6s2.6p2"	"(3/2,1/2)"	"2"	"6s2.6p.(2P*<1/2>).6d"	"2[5/2]*"	"2"	5	5		"T7227"	"L50"	
Pb	1	"357.27292"	"0.00003"	"357.272911"	"0.000014"	"35000"	"9.9e+07"	C+	"2.66042791"	"6.12973122"	"6s2.6p2"	"(3/2,3/2)"	"2"	"6s2.6p.7s"	"(3/2,1/2)*"	"1"	5	3		"T3654"	"L50"	
Pb	1	"363.95677"	"0.00003"	"363.956773"	"0.000016"	"50000r"	"3.2e+07"	C+	"0.96946501"	"4.37505823"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.7s"	"(1/2,1/2)*"	"1"	3	3		"T7227"	"L50"	
Pb	1	"367.14913"	"0.00002"	"367.149113"	"0.000015"	"20000"	"3.1e+07"	C	"2.66042791"	"6.03641049"	"6s2.6p2"	"(3/2,3/2)"	"2"	"6s2.6p.8s"	"(1/2,1/2)*"	"1"	5	3		"T3654n"	"L50"	
Pb	1	"368.34625"	"0.00003"	"368.346205"	"0.000017"	"70000r"	"1.37e+08"	B	"0.96946501"	"4.33447622"	"6s2.6p2"	"(3/2,1/2)"	"1"	"6s2.6p.7s"	"(1/2,1/2)*"	"0"	3	1		"T7227"	"L50"	
Pb	1	"373.99353"	"0.00003"	"373.99352"	"0.00003"	"25000"	"7.3e+07"	B	"2.66042791"	"5.97462861"	"6s2.6p2"	"(3/2,3/2)"	"2"	"6s2.6p.7s"	"(3/2,1/2)*"	"2"	5	5		"T3654"	"L50"	
