element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Sr	2	"201.866"	"0.010"	"201.8657"	"0.0004"	""	"1.2e+07"	D	"2.9403088"	"9.080243"	"4p6.5p"	"2P*"	"1/2"	"4p6.8s"	"2S"	"1/2"	2	2		"T4515"	"L3450"	
Sr	2	"205.188"	"0.010"	"205.1869"	"0.0004"	""	"2.4e+07"	D	"3.0396772"	"9.080243"	"4p6.5p"	"2P*"	"3/2"	"4p6.8s"	"2S"	"1/2"	4	2		"T4515"	"L3450"	
Sr	2	"215.2840"	"0.0004"	"215.2850"	"0.0005"	""	"2.36e+08"	C	"1.8047016"	"7.561962"	"4p6.4d"	"2D"	"3/2"	"4p6.4f"	"2F*"	"5/2"	4	6		"T6998"	"L13897"	
Sr	2	"216.5928"	"0.0002"	"216.5928"	"0.0005"	""	"1.68e+07"	C	"1.8394593"	"7.561962"	"4p6.4d"	"2D"	"5/2"	"4p6.4f"	"2F*"	"5/2"	6	6		"T6998"	"L9487"	
Sr	2	"216.5989"	"0.0002"	"216.5989"	"0.0005"	""	"2.53e+08"	C	"1.8394593"	"7.561801"	"4p6.4d"	"2D"	"5/2"	"4p6.4f"	"2F*"	"7/2"	6	8		"T6998"	"L9487"	
Sr	1	"219.3977"	"0.0004"	"219.39814"	"0.00014"	""	"2.56e+05"	A'	"0.0000000"	"5.649340"	"5s2"	"1S"	"0"	"5s.20p"	"1P*"	"1"	1	3		"T5889"	"L7603"	
Sr	1	"219.6214"	"0.0004"	"219.62161"	"0.00014"	""	"3.2e+05"	B'	"0.0000000"	"5.643592"	"5s2"	"1S"	"0"	"5s.19p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"219.8892"	"0.0004"	"219.89033"	"0.00024"	""	"4.2e+05"	B'	"0.0000000"	"5.636696"	"5s2"	"1S"	"0"	"5s.18p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"220.2176"	"0.0004"	"220.21820"	"0.00019"	""	"5.0e+05"	B'	"0.0000000"	"5.628305"	"5s2"	"1S"	"0"	"5s.17p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"220.6239"	"0.0004"	"220.62332"	"0.00019"	""	"6.4e+05"	B'	"0.0000000"	"5.617971"	"5s2"	"1S"	"0"	"5s.16p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"221.1310"	"0.0004"	"221.13170"	"0.00020"	""	"8.5e+05"	B'	"0.0000000"	"5.605057"	"5s2"	"1S"	"0"	"5s.15p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"221.7816"	"0.0004"	"221.78198"	"0.00015"	""	"1.17e+06"	B'	"0.0000000"	"5.588624"	"5s2"	"1S"	"0"	"5s.14p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"222.6304"	"0.0004"	"222.63055"	"0.00015"	""	"1.57e+06"	B'	"0.0000000"	"5.567324"	"5s2"	"1S"	"0"	"5s.13p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"223.7655"	"0.0004"	"223.76566"	"0.00015"	""	"2.4e+06"	B'	"0.0000000"	"5.539085"	"5s2"	"1S"	"0"	"5s.12p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"225.3256"	"0.0004"	"225.32588"	"0.00015"	""	"3.7e+06"	B	"0.0000000"	"5.500735"	"5s2"	"1S"	"0"	"5s.11p"	"1P*"	"1"	1	3		"T4337"	"L7603"	
Sr	1	"227.5304"	"0.0004"	"227.52210"	"0.00013"	""	"6.6e+06"	B'	"0.0000000"	"5.447643"	"5s2"	"1S"	"0"	"5s.10p"	"1P*"	"1"	1	3		"T3039"	"L7603"	
Sr	2	"228.19990"	"0.00010"	"228.20004"	"0.00011"	""	"8.3e+07"	D	"2.9403088"	"8.3717689"	"4p6.5p"	"2P*"	"1/2"	"4p6.6d"	"2D"	"3/2"	2	4		"T4515"	"L7362"	
Sr	1	"230.7264"	"0.0004"	"230.7264"	"0.0004"	""	"1.15e+07"	B'	"0.0000000"	"5.371992"	"5s2"	"1S"	"0"	"5s.9p"	"1P*"	"1"	1	3		"T3039"	"L7603"	
Sr	2	"232.23550"	"0.00010"	"232.23560"	"0.00012"	""	"9.1e+07"	D	"3.0396772"	"8.3767630"	"4p6.5p"	"2P*"	"3/2"	"4p6.6d"	"2D"	"5/2"	4	6		"T4515"	"L7362"	
Sr	2	"232.452"	"0.010"	"232.45313"	"0.00012"	""	"1.5e+07"	D	"3.0396772"	"8.3717689"	"4p6.5p"	"2P*"	"3/2"	"4p6.6d"	"2D"	"3/2"	4	4		"T4515"	"L3450"	
Sr	1	"235.4319"	"0.0004"	"235.43190"	"0.00008"	"80"	"1.8e+07"	C+	"0.0000000"	"5.2646339"	"5s2"	"1S"	"0"	"5s.8p"	"1P*"	"1"	1	3		"T3039"	"L7362"	
Sr	2	"242.35690"	"0.00010"	"242.35705"	"0.00013"	""	"2.4e+07"	D	"2.9403088"	"8.0545219"	"4p6.5p"	"2P*"	"1/2"	"4p6.7s"	"2S"	"1/2"	2	2		"T4515"	"L7362"	
Sr	1	"242.8095"	"0.0003"	"242.80949"	"0.00008"	"160"	"1.7e+07"	C+	"0.0000000"	"5.1046841"	"5s2"	"1S"	"0"	"4d.5p"	"1P*"	"1"	1	3		"T3039"	"L7362"	
Sr	2	"247.15970"	"0.00010"	"247.15967"	"0.00013"	"20"	"4.8e+07"	D	"3.0396772"	"8.0545219"	"4p6.5p"	"2P*"	"3/2"	"4p6.7s"	"2S"	"1/2"	4	2		"T4515"	"L7362"	
Sr	1	"256.9469"	"0.0002"	"256.94711"	"0.00007"	"40"	"5.3e+06"	B	"0.0000000"	"4.8238356"	"5s2"	"1S"	"0"	"5s.7p"	"1P*"	"1"	1	3		"T3039"	"L7362"	
Sr	1	"293.1830"	"0.0003"	"293.18309"	"0.00005"	"130"	"1.9e+06"	C+	"0.0000000"	"4.2276633"	"5s2"	"1S"	"0"	"5s.6p"	"1P*"	"1"	1	3		"T3039"	"L7362"	
Sr	1	"330.1734"	"0.0005"	"330.17324"	"0.00010"	"420h"	"5.9e+07"	B'	"1.77514463"	"5.5291894"	"5s.5p"	"3P*"	"0"	"4d2"	"3P"	"1"	1	3		"T2979"	"L7362"	
Sr	2	"346.44570"	"0.00010"	"346.44531"	"0.00017"	"50"	"3.1e+08"	D	"3.0396772"	"6.6174049"	"4p6.5p"	"2P*"	"3/2"	"4p6.5d"	"2D"	"5/2"	4	6		"T4515"	"L7362"	
Sr	2	"347.48870"	"0.00010"	"347.48891"	"0.00017"	"10"	"5.1e+07"	D	"3.0396772"	"6.6066604"	"4p6.5p"	"2P*"	"3/2"	"4p6.5d"	"2D"	"3/2"	4	4		"T4515"	"L7362"	
Sr	2	"407.77140"	"0.00010"	"407.77094"	"0.00017"	"400r"	"1.41e+08"	AA	"0.000000"	"3.0396772"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"3/2"	2	4		"T6398,T1181"	"L7362"	
Sr	2	"416.17960"	"0.00010"	"416.17918"	"0.00024"	"30"	"6.5e+07"	D	"2.9403088"	"5.9185754"	"4p6.5p"	"2P*"	"1/2"	"4p6.6s"	"2S"	"1/2"	2	2		"T4515"	"L7362"	
Sr	2	"421.55240"	"0.00010"	"421.55193"	"0.00018"	"300r"	"1.279e+08"	AA	"0.000000"	"2.9403088"	"4p6.5s"	"2S"	"1/2"	"4p6.5p"	"2P*"	"1/2"	2	2		"T9615"	"L7362"	
Sr	1	"425.2939"	"0.0005"	"425.2939"	"0.0005"	"700"	"7.7e+06"	C	"2.4982425"	"5.412681"	"5s.4d"	"1D"	"2"	"5s.7f"	"1F*"	"3"	5	7		"T5363"	"L4447"	
Sr	2	"430.54470"	"0.00010"	"430.5443"	"0.0003"	"40"	"1.4e+08"	D	"3.0396772"	"5.9185754"	"4p6.5p"	"2P*"	"3/2"	"4p6.6s"	"2S"	"1/2"	4	2		"T4515"	"L7362"	
Sr	1	"431.3182"	"0.0002"	"431.3157"	"0.0013"	"110h"	"1.3e+07"	C'	"2.4982425"	"5.371992"	"5s.4d"	"1D"	"2"	"5s.9p"	"1P*"	"1"	5	3		"T5960"	"L7362"	
Sr	1	"432.6445"	"0.0001"	"432.64449"	"0.00010"	"300"	"3.1e+06"	A'	"1.77514463"	"4.6400683"	"5s.5p"	"3P*"	"0"	"5s.7s"	"3S"	"1"	1	3		"T5178"	"L7362"	
Sr	1	"436.1710"	"0.0002"	"436.17110"	"0.00011"	"800"	"9.7e+06"	B+	"1.7983082"	"4.6400683"	"5s.5p"	"3P*"	"1"	"5s.7s"	"3S"	"1"	3	3		"T5178"	"L7362"	
Sr	1	"440.6009"	"0.0005"	"440.6009"	"0.0005"	"410"	"1.2e+07"	C	"2.4982425"	"5.311432"	"5s.4d"	"1D"	"2"	"5s.6f"	"1F*"	"3"	5	7		"T5363"	"L4447"	
Sr	2	"441.484"	"0.010"	"441.484"	"0.006"	""	"1.1e+07"	D	"6.95029"	"9.757854"	"4p6.6p"	"2P*"	"3/2"	"4p6.8d"	"2D"	"5/2"	4	6		"T4515"	"L3450"	
Sr	2	"441.750"	"0.010"	"441.750"	"0.006"	""	"1.8e+06"	D	"6.95029"	"9.756168"	"4p6.6p"	"2P*"	"3/2"	"4p6.8d"	"2D"	"3/2"	4	4		"T4515"	"L3450"	
Sr	1	"443.8044"	"0.0002"	"443.80430"	"0.00013"	"1000"	"1.55e+07"	B+	"1.8471842"	"4.6400683"	"5s.5p"	"3P*"	"2"	"5s.7s"	"3S"	"1"	5	3		"T5178"	"L7362"	
Sr	1	"448.0507"	"0.0002"	"448.0545"	"0.0003"	"440h"	"1.9e+07"	C+	"2.4982425"	"5.2646339"	"5s.4d"	"1D"	"2"	"5s.8p"	"1P*"	"1"	5	3		"T5960"	"L7362"	
Sr	2	"458.591"	"0.010"	"458.593"	"0.007"	""	"7.0e+06"	D	"6.95029"	"9.653112"	"4p6.6p"	"2P*"	"3/2"	"4p6.9s"	"2S"	"1/2"	4	2		"T4515"	"L3450"	
Sr	1	"460.7331"	"0.0002"	"460.73330"	"0.00008"	"29000r"	"2.01e+08"	AA	"0.0000000"	"2.6902652"	"5s2"	"1S"	"0"	"5s.5p"	"1P*"	"1"	1	3		"T3039"	"L7362"	
Sr	1	"467.8326"	"0.0003"	"467.829"	"0.004"	"1000h"	"1.9e+07"	C	"2.4982425"	"5.147705"	"5s.4d"	"1D"	"2"	"5s.5f"	"1F*"	"3"	5	7		"T5363"	"L7362"	
Sr	1	"472.2278"	"0.0002"	"472.22769"	"0.00019"	"1600"	"3.6e+07"	B+	"1.7983082"	"4.4230913"	"5s.5p"	"3P*"	"1"	"5p2"	"3P"	"2"	3	5		"T5178"	"L7362"	
Sr	1	"474.1922"	"0.0002"	"474.19221"	"0.00011"	"1600"	"3.9e+07"	B+	"1.77514463"	"4.3890536"	"5s.5p"	"3P*"	"0"	"5p2"	"3P"	"1"	1	3		"T5178"	"L7362"	
