g,LeveleV
1,0.00000,
7,9.97506,
5,10.21067,
3,10.68986,
5,11.01870,
5,16.59073,
7,16.88842,
3,17.20335,
9,17.23767,
5,17.41103,
1,17.61949,
5,17.69934,
7,17.71645,
3,18.11100,
7,18.11293,
3,18.30314,
5,18.40686,
9,22.19595,
7,22.82478,
5,23.03608,
5,23.77550,
3,24.31624,
1,24.33292,
5,24.60231,
9,24.91249,
3,25.16459,
7,25.34499,
5,25.40537,
11,25.43156,
9,25.45355,
5,25.46722,
7,25.55162,
7,25.61641,
5,25.64047,
9,25.66074,
3,26.05492,
3,26.06402,
5,26.10958,
7,26.14052,
9,26.22495,
5,26.27533,
3,26.29082,
5,26.36214,
7,26.37246,
1,26.42199,
,37.468,

#ignore,test#1.0
