g,LeveleV
4,0.00000000,
2,1.71685394,
2,13.471251,
6,14.9308096,
8,14.9751383,
4,15.0102288,
2,15.1690043,
10,15.6129393,
8,15.9360025,
4,16.3389449,
2,16.4178879,
2,16.5228572,
6,16.5324292,
6,16.7479167,
4,16.8305884,
4,16.9478340,
8,17.0831870,
6,17.1673886,
4,17.1772019,
4,17.4563072,
6,17.6141539,
8,17.9200720,
6,17.9270935,
10,17.9614334,
2,18.0326563,
4,18.4210589,
6,18.6092718,
2,18.6555636,
8,18.9709890,
6,19.4281371,
4,19.4432354,
4,19.9177135,
4,19.9604477,
6,19.9778904,
6,20.1924655,
6,20.2708691,
2,20.2746159,
8,20.3248483,
4,20.3941354,
2,20.5609734,
4,20.8777512,
8,20.8999240,
10,20.9417691,
6,20.9579882,
4,21.1188871,
2,21.215532,
6,21.2248283,
2,21.2401700,
2,21.4579201,
4,21.5145446,
12,21.7032414,
4,21.7888059,
6,21.8561528,
10,21.8701280,
2,21.9006808,
4,22.0594962,
4,22.1141281,
2,22.1322488,
4,22.1639897,
6,22.2015500,
2,22.2627842,
8,22.4086923,
6,22.5086846,
4,22.6277684,
4,22.7472895,
8,22.7785658,
8,22.8538544,
6,22.8539482,
10,22.9807447,
4,23.0766699,
6,23.0809009,
6,23.1347074,
2,23.3500671,
6,23.4771127,
8,23.4874772,
8,23.7004008,
10,23.7336654,
12,23.7492966,
4,23.914271,
2,23.966421,
8,24.2413917,
6,24.5498639,
6,24.5569919,
8,24.5680002,
4,24.5914093,
6,24.6080015,
2,24.6552437,
10,24.6804638,
4,24.7100843,
8,24.7148629,
8,24.7351284,
10,24.7590929,
2,24.918924,
4,25.0560525,
4,25.0580825,
6,25.0961311,
6,25.0994194,
2,25.4543625,
4,25.6767058,
2,25.8447204,
4,25.8629429,
4,25.8780730,
6,25.8827469,
6,25.9256051,
6,26.0013448,
8,26.0161038,
2,26.056622,
2,26.1230533,
8,26.1364911,
10,26.1369431,
4,26.1983736,
4,26.1990949,
8,26.2234702,
12,26.2283430,
4,26.2419587,
10,26.2586284,
2,26.267922,
4,26.2722187,
2,26.297624,
6,26.3614709,
6,26.3688935,
4,26.3941709,
6,26.4313875,
4,26.534864,
8,26.9534388,
6,27.0675342,
8,27.1353251,
10,27.1691039,
6,27.174923,
4,27.210685,
6,27.3181023,
2,27.335457,
8,27.3873049,
6,27.3874738,
8,27.442510,
4,27.533788,
2,27.549569,
10,27.6338935,
8,27.7720264,
8,27.7799496,
6,27.8638338,
6,27.8939205,
8,27.8954544,
4,27.9027133,
6,27.9136380,
4,27.916127,
10,27.9359279,
2,27.938727,
8,27.9576623,
6,28.1197507,
2,28.1211767,
12,28.2200857,
10,28.2207454,
8,28.2221432,
10,28.2238191,
6,28.2377931,
8,28.2399959,
14,28.2435798,
12,28.2440636,
4,28.257311,
4,28.2585130,
6,28.270905,
8,28.5641937,
10,29.441106,
8,29.441756,
4,29.513781,
6,29.746851,
6,29.823105,
8,29.8237765,
10,29.826919,
8,29.8586759,
6,29.952891,
8,29.955319,
,33.195,

#ignore,test#4.36
