g,LeveleV
1,0.000000,
1,7.654018,
3,7.749006,
5,7.952824,
3,11.390761,
5,17.974592,
1,18.310662,
3,18.429022,
5,18.643720,
3,19.659557,
3,20.189618,
5,20.198308,
7,20.211526,
1,20.275450,
1,21.587374,
5,22.086589,
1,22.547663,
3,22.568576,
5,22.625509,
3,22.850047,
5,26.091977,
7,26.093900,
9,26.101638,
7,26.103209,
3,26.178032,
1,26.36673,
3,26.423904,
5,26.427536,
7,26.433139,
5,26.728137,
3,29.06590,
7,29.125887,
9,29.125919,
9,29.126373,
11,29.126380,
1,29.14866,
3,29.19041,
5,29.19235,
7,29.19574,
5,29.29108,
5,29.48980,
3,30.60860,
7,30.634474,
9,30.634513,
11,30.634915,
9,30.634918,
3,32.57253,
,34.0576,

#ignore,test#1.0
