g,LeveleV
1,0.00000,
5,20.147767,
3,20.238213,
1,20.262998,
3,20.394409,
5,20.448453,
1,20.475420,
3,20.638075,
9,21.083414,
7,21.180357,
5,21.266092,
5,22.236467,
7,22.242244,
5,22.365844,
3,22.372812,
7,22.393865,
3,22.714413,
7,23.108646,
5,23.145544,
3,23.250385,
5,23.327664,
3,23.462708,
5,23.514521,
1,23.528233,
3,23.573202,
1,24.148675,
3,25.039551,
5,26.355470,
3,26.407221,
1,26.622222,
3,26.658413,
1,26.67,
3,26.706308,
5,26.762175,
9,26.78,
7,26.84,
5,26.912246,
7,26.994125,
5,27.14,
3,27.15,
5,27.176357,
7,27.20,
3,28.156923,
5,28.159688,
11,28.17243,
9,28.173004,
7,28.187051,
5,28.189940,
7,28.204521,
9,28.204855,
7,28.453444,
9,28.45387,
7,28.455241,
5,28.457461,
3,28.58,
3,28.73,
3,28.84,
3,28.98,
3,29.38,
3,29.40963,
5,29.41158,
11,29.41788,
9,29.418388,
7,29.426286,
5,29.428480,
9,29.43474,
7,29.434903,
3,29.63,
7,29.69241,
7,29.69257,
9,29.69269,
5,29.69462,
3,29.71,
3,29.88,
3,29.88,
3,30.09005,
5,30.09100,
11,30.09452,
9,30.09496,
7,30.09979,
5,30.10024,
7,30.10468,
9,30.10474,
3,30.12,
3,30.21,
3,30.26,
7,30.364,
9,30.364,
7,30.364,
5,30.366,
3,30.38,
3,30.48,
3,30.57,
3,30.70,
3,30.93,
3,31.1026,
,31.62500,

#ignore,test#1.0
