g,LeveleV
1,0.00000,
3,17.77372,
5,18.09537,
7,18.58859,
7,19.01163,
1,19.35397,
3,19.64066,
5,19.89778,
5,20.19301,
9,20.29538,
7,20.46616,
5,20.81964,
7,21.49086,
5,21.69895,
3,22.46036,
5,22.92291,
5,23.35778,
7,23.66012,
5,24.58645,
3,24.81957,
3,26.77057,
1,27.19431,
3,27.33937,
3,28.64143,
5,28.93810,
7,29.35827,
3,29.47443,
5,29.71335,
1,30.28956,
3,31.52314,
3,32.12256,
5,32.13972,
1,32.29166,
1,35.23703,
3,35.33325,
9,35.44165,
7,35.45341,
5,35.49645,
5,35.63338,
7,35.69183,
3,36.02934,
5,36.21334,
3,36.29982,
5,38.08584,
5,38.11254,
7,38.20589,
3,38.44128,
1,38.87058,
3,38.92075,
,49.95,

#ignore,test#1.0
