g,LeveleV
2,0.000000,
4,0.117962,
2,8.82570,
4,8.86843,
6,8.93609,
4,11.66730,
6,11.67315,
2,15.31320,
2,16.56672,
4,16.64431,
4,18.86211,
6,18.86380,
2,22.49671,
4,22.94392,
6,22.95543,
4,24.35737,
4,25.22369,
6,25.24725,
8,25.28116,
10,25.32562,
4,26.20612,
2,26.20732,
2,26.47245,
4,26.49856,
6,27.54908,
4,27.58507,
2,27.61034,
2,27.81495,
4,27.82647,
6,27.83933,
8,27.84900,
6,28.96400,
4,28.96788,
6,29.96032,
8,30.05642,
4,31.66504,
6,31.66560,
8,31.93969,
6,31.95601,
2,32.61988,
4,32.66340,
6,32.74022,
4,32.84128,
2,32.86264,
2,33.57823,
2,33.60231,
4,33.65389,
8,34.41752,
6,34.42829,
4,34.54725,
2,34.55153,
4,34.85116,
6,34.86827,
2,35.35065,
4,35.37220,
2,36.27396,
4,36.31422,
2,36.36590,
4,36.38479,
6,36.41870,
8,36.48634,
2,36.87254,
4,36.89679,
6,36.94857,
4,37.11706,
4,37.33286,
6,37.39071,
4,37.60909,
6,37.62674,
2,38.28149,
2,38.30359,
4,38.31065,
10,38.42531,
8,38.42533,
8,38.60304,
6,38.60324,
2,38.62115,
4,39.14599,
6,39.16940,
8,39.20168,
10,39.24235,
2,39.50252,
4,39.50623,
6,41.24193,
8,41.24267,
2,41.28247,
2,41.69034,
4,41.69551,
6,41.70285,
8,41.72525,
2,41.74991,
4,41.75297,
4,41.78649,
6,41.82087,
4,41.84479,
6,41.86222,
8,41.87575,
10,41.91324,
4,42.01615,
6,42.02723,
2,42.13153,
4,42.15469,
6,42.20510,
4,42.23948,
2,42.26016,
6,42.42382,
8,42.48807,
2,42.62902,
6,42.80424,
4,42.80913,
8,42.82019,
2,42.85200,
4,43.26403,
6,43.26792,
8,43.27551,
10,43.28771,
6,43.65325,
8,43.67099,
10,43.69636,
12,43.73499,
2,43.86267,
4,43.90520,
6,43.98620,
8,44.09690,
6,44.13123,
4,44.15977,
2,44.16835,
2,44.4063,
4,44.48379,
2,45.28437,
4,45.32681,
4,45.73837,
6,45.81252,
4,47.18546,
6,47.18827,
,47.222,
6,48.53075,
8,48.53271,
,57.5155,
,57.5613,
,57.6558,
,62.9866,

#ignore,test#5.56
