g,LeveleV
1,0.0000,
3,0.2159,
5,0.4881,
5,1.6158,
1,3.5249,
3,11.2938,
5,11.4962,
7,11.9704,
1,13.2021,
5,13.2062,
3,13.2156,
5,13.9563,
5,15.38048,
7,15.53644,
1,15.65634,
3,15.71889,
9,15.79676,
5,16.16642,
3,16.32325,
3,16.97920,
5,17.25906,
5,17.28460,
3,17.43710,
7,17.60757,
1,17.64491,
5,17.69330,
3,17.69976,
3,18.3273,
7,18.4334,
3,18.69199,
3,18.99579,
5,19.03417,
1,19.19065,
3,19.38622,
7,19.42744,
5,19.57391,
3,19.75104,
5,19.98256,
1,23.20596,
3,23.23792,
5,23.36224,
7,23.51334,
5,23.55950,
3,23.66129,
5,23.74583,
9,23.75458,
3,23.82503,
5,23.96669,
7,24.04240,
5,24.14307,
3,24.17078,
7,24.40572,
,31.697,

#ignore,test#7.51
