g,LeveleV
2,0.000000,
4,1.8047016,
6,1.8394593,
2,2.9403088,
4,3.0396772,
2,5.9185754,
4,6.6066604,
6,6.6174049,
2,6.91456,
4,6.95029,
8,7.561801,
6,7.561962,
2,8.0545219,
4,8.3717689,
6,8.3767630,
2,8.515153,
4,8.532235,
6,8.811036,
8,8.811036,
8,8.847240,
10,8.847240,
2,9.080243,
4,9.251862,
6,9.254565,
4,9.337473,
8,9.491412,
6,9.491412,
8,9.514262,
10,9.514262,
2,9.653112,
4,9.756168,
6,9.757854,
6,9.901539,
8,9.901539,
10,9.916789,
8,9.916789,
2,10.005748,
4,10.072501,
6,10.073592,
6,10.167436,
8,10.167436,
8,10.177912,
10,10.177912,
2,10.238132,
6,10.28468,
4,10.28497,
6,10.349296,
8,10.349296,
8,10.35687,
10,10.35687,
2,10.399782,
4,10.43228,
6,10.43289,
6,10.479268,
8,10.479268,
8,10.484972,
10,10.484972,
2,10.516228,
4,10.54058,
6,10.54058,
8,10.575207,
6,10.575207,
8,10.579609,
10,10.579609,
4,10.62158,
6,10.62158,
6,10.648246,
8,10.648246,
4,10.68429,
6,10.68429,
,11.0302765,

#ignore,test#3.96
