g,LeveleV
1,0.00000,
7,9.30496,
5,9.75061,
3,11.61419,
5,11.99238,
5,18.30408,
7,18.57747,
5,20.63365,
3,20.76711,
9,20.78848,
5,21.11863,
7,21.35911,
3,21.73269,
1,22.69996,
7,23.26842,
3,23.33760,
5,23.57465,
3,31.21959,
9,31.51146,
5,31.57049,
7,31.62614,
3,31.70194,
11,31.71955,
7,31.74866,
5,31.76009,
7,31.95698,
5,31.97865,
9,32.02338,
1,32.51911,
3,33.78986,
7,33.82372,
3,33.94650,
5,34.02048,
3,34.06720,
5,34.11555,
9,34.12460,
5,34.23970,
7,34.32700,
1,35.086,
7,39.74481,
5,39.80117,
3,42.05590,
5,42.08743,
,51.14,

#ignore,test#1.0
